"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"1N1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"D";;;
2;"C1,C13,C14";"CP_Radial_D5.0mm_P2.50mm";3;"1uF";;;
3;"C2,C3,C9,C15,C16";"CP_Radial_D5.0mm_P2.50mm";5;"100uF";;;
4;"C4";"CP_Radial_Tantal_D4.5mm_P2.50mm";1;"0,1uF";;;
5;"C5,C6";"CP_Radial_D8.0mm_P2.50mm";2;"220uF";;;
6;"C7,C8";"CP_Radial_Tantal_D4.5mm_P2.50mm";2;"0,47uF";;;
7;"C10,C11,C17,C18";"CP_Radial_D5.0mm_P2.00mm";4;"1uF";;;
8;"C12";"CP_Radial_Tantal_D4.5mm_P2.50mm";1;"0,1u";;;
9;"D1";"LED_D4.0mm";1;"D";;;
10;"P1";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"Battery";;;
11;"P2";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"Switch_Poti";;;
12;"P3";"JST_EH_B03B-EH-A_03x2.50mm_Straight";1;"L4940V5";;;
13;"P4";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"S4_Nose";;;
14;"P5";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"S3_Left";;;
15;"P6";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"S2_Right";;;
16;"P7";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"S1_Belly";;;
17;"P8";"JST_EH_B03B-EH-A_03x2.50mm_Straight";1;"Poti";;;
18;"P10";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"Speaker_Left";;;
19;"P11";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"Speaker_Right";;;
20;"P12";"JST_EH_B04B-EH-A_04x2.50mm_Straight";1;"HC-SR04";;;
21;"P13";"JST_EH_B04B-EH-A_04x2.50mm_Straight";1;"Display";;;
22;"P14";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"AUX";;;
23;"Q1";"TO-220";1;"IRF540N";;;
24;"R1,R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"2,2k";;;
25;"R4,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
26;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100k";;;
27;"R7,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k";;;
28;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"300";;;
29;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4,7k";;;
30;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2,7k";;;
31;"U3";"TDA7053a";1;"TDA7053a";;;
32;"U5";"Arduino_Nano";1;"Arduino_Nano";;;
33;"U7";"Printrelais_ST03";1;"FRT5_DC5V";;;
34;"U8";"DIP-8_W7.62mm";1;"24LC256";;;
35;"M3";"Micro-USB-Hub";1;"Micro-USB-Hub";;;
36;"P9";"JST_EH_B04B-EH-A_04x2.50mm_Straight";1;"USB-Connector";;;
37;"M2";"JQ6500-28P";1;"JQ6500-28P";;;
38;"U4";"Si4703";1;"Si4703";;;
39;"M1";"DS3231";1;"DS3231";;;
40;"U2";"TP4056";1;"TP4056";;;
41;"U1";"MT3608";1;"MT3608";;;
